name,totplay,agelevel,is_school,howtogetthere,safelocation,shade,monitoring,programming,weather,seating,restrooms,drinkingw,activeplay,socialplay,creativeplay,naturualen,freeplay,compsum,modsum,graspvalue,playclass,subarea,created_at,updated_at,long,lat,google_placesid,imageurl,address,zip_code,pleasant_surrounding_rating,fencing_rating,disabilities_rating,musical_features_rating,swings_rating,bucket_swings_rating,sprayground_play_fountain_rating,skate_park_rating,streams_rating,slide_ratings,climbing_structures_rating,spinning_structures_rating,rocking_structure,balance_features_rating,sandbox_rating,playhouse_rating,stage_rating,path_for_wheeled_toys_rating,basketball_courts_rating,surface_marked_for_games_rating,open_space_for_ball_play,woods_rating,garden_rating,natural_elements_rating,other_cool_features,disabilities_comments,specificcomments,generalcomments
Rocky Run Park,2,2 to 12,FALSE,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.08803026,38.88653988,,,1109 N Barton St,22201,3,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,,,,"Renovated in 2014, Rocky Run offers fun features for children of all ages. Large and small web climbing features. Within walking distance of the Courthouse Metro Station, and several bus lines run along N. Barton Street. Street parking available."
Rosslyn Highlands Park,2,2 to 12,FALSE,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.07690576,38.89528066,,,1529 Wilson Blvd,22201,2,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,,,,
Slater Park,2,2 to 12,FALSE,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.12374178,38.89329097,,,1837 N Culpeper St,22207,2,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,3,,,,Large wooded area with picnic tables.
Taylor Elementary School,1,2 to 12,TRUE,2,3,2,,,,2,1,1,,,,,,,,,,,,,-77.11364964,38.90678547,,,2600 N Stuart Street,22207,3,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,2,1,,,,"There are three separate playground areas including one behind the school, which is not visible from the street. "
Thomas Jefferson Community Center Playground,1,2 to 12,FALSE,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.09611995,38.86963833,,,3501 S 2nd St,22204,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,,,,"Some of the playground surface is wheelchair accessible, but most is mulched. Tennis courts, soccer fields, adult fitness equipment also at park. Restrooms in the community center. "
Towers Park,2,2 to 12,FALSE,3,3,3,,,,3,1,2,,,,,,,,,,,,,-77.07740744,38.8668103,,,801 S Scott St,22204,3,2,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,1,1,3,,,,"Tennis court, volleyball court, gated dog park. Capital Bike Share stand close to park."
Troy Park,2,2 to 12,FALSE,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.07232574,38.8460191,,,2629 S Troy St,22206,2,3,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,3,,,,"Water table toy for toddlers. Stream adjacent to park, but fenced off. Pleasant natural setting. Two basketball hoops, but not a full basketball court. Bus stops within walking distance, on bike route and bike share nearby."
Tuckahoe Park,1,2 to 12,FALSE,3,3,3,,,,3,1,2,,,,,,,,,,,,,-77.15695605,38.89131281,,,2400 N Sycamore St,22213,3,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,1,3,,,,"Recently renovated park; great space for kids to run and play and interesting new equipment, including a climbing web. Located next to Tuckahoe School. Fields used for soccer and baseball games. Close to East Falls Church Metro station and various bus lines."
TuckahoeElementary School,1,2 to 5,TRUE,3,3,2,,,,1,1,1,,,,,,,,,,,,,-77.15695605,38.89131281,,,6550 26th St N,22213,3,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,3,,,,Playground is very close to the Tuckahoe Park; some of the features listed there are shared. Near the East Falls Church Metro station and buses.
Tyrol Hill Park,1,2 to 12,FALSE,3,3,1,,,,3,1,2,,,,,,,,,,,,,-77.11772723,38.85989237,,,5101 7th Rd S,22204,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,3,Sandbox looks questionable- I took a picture.  Basketball Court  Volleyball Court,,,Limited street parking; can be difficult to find a space.
Upton Hills Park,1,2 to 12,FALSE,,,2,,,,,,,,,,,,,,,,,,,-77.14378491,38.87163188,,,6060 Wilson Boulevard,22205,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Virginia Highlands Park,2,2 to 12,FALSE,3,3,2,,,,3,3,2,,,,,,,,,,,,,-77.05987238,38.8584015,,,1600 S Hayes St,22202,2,2,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,2,1,1,1,,,,"Large park with a fenced playground. Spray ground is open every day, Memorial Day through Labor Day, but is not fenced. Nice restrooms. The fields and ball court surrounding the park were under construction at the time of survey. Close to Pentagon City Metro, plenty of parking (except for during construction right now)"
Vornado Crystal City,2,2 to 5,FALSE,1,3,3,,,,3,1,1,,,,,,,,,,,,,-77.04913313,38.8520877,,,2451 Crystal Drive,22202,3,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,,,,Open after 6 pm and on weekends.
Walter Reed Playground,1,2 to 5,FALSE,3,3,1,,,,3,3,2,,,,,,,,,,,,,-77.08623201,38.85793475,,,2909 16th Street S,22204,3,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,,,,"Very small playground, without the traditional slide or swings. Geared toward kids who like to climb and balance. The sandbox is quite nice, with a turtle sculpture in the center. Adjacent to community center, off Walter Reed Drive. Ample parking in a lot. Restrooms in the community center. "
Westover Park,2,2 to 12,FALSE,3,3,2,,,,3,3,2,,,,,,,,,,,,,-77.13570417,38.88019414,,,1001 N Kennebec St,22205,3,3,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,3,,,,"Pleasant and welcoming facility. Baseball field, volleyball court, basketball court, soccer field, bike trail, and one swing for children with disabilities. Small parking lot."
Woodlawn Park,1,2 to 12,FALSE,2,3,3,,,,3,1,2,,,,,,,,,,,,,-77.12072208,38.88688605,,,1325 N Buchanan St,22207,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,1,3,,,,Not immediately visible from the street; walk down a short path between two houses to get there.
Woodmont Park,1,2 to 12,FALSE,2,3,1,,,,2,1,1,,,,,,,,,,,,,-77.09773971,38.9023452,,,2422 N Fillmore St,22207,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,3,,,,Paths are wheelchair accessible but no specific features for children with physical disabilities. No fence separating playground from parking lot. Easily accessible by car.
