Id,Name,Mapid,Totplay,2-5,5-12,Opentopublic,School,Howtogetthere,Safelocation,Shade,Monitoring,Programming,Weather,Seating,Restrooms,Drinkingw,Activeplay,Socialplay,Creativeplay,Naturualen,Freeplay,Compsum,Modsum,Graspvalue,Playclass,Subarea,Created at,Updated at,Lat,Long,Google placesid,Imageurl,Address,Zip Code,Pleasant Surrounding,Fencing,Features for Children with Disabilities,Musical Feature,Swings,Bucket swings (for younger children),Sprayground/Play fountain,Skate Park,Stream,Slide(s),Climbing Structure(s),Spinning Structure(s),Rocking Structure(s),Balance feature(s),Sandbox,Playhouse,Stage,Path for wheeled toys/small bikes,Basketball court,Surface marked for games,Open space for ball play,Woods,Garden,Natural Elements,Please indicate any other cool features not mentioned above,Comments on features for children with Disabilities,Specificcomments,Generalcomments
,Oakridge Elementary School,,1,2 ,2 ,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",2,3,1,,,,2,1,1,,,,,,,,,,,,,-77.07024031140,38.85051087790,,,1414 24th Street S,22202,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,3,,,,"Two play areas: one for young children 2-5, 5 - 12 and then a play area for older children. Both play areas are not viewable at the same time, so caregivers must choose which area to stay in. Both play areas are on mulch, so are not wheelchair friendly. Outside school hours, playground is typically not crowded."
,Parkhurst Park,,2,2 ,2,3,,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.1417904716742,38.8893449348639,,,5820 20th Rd N,22205,3,3,2,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,,,,"Playground has a nice layout, and the areas are divided by age-appropriate toys and activities. The woods help the setting seem less urban. Pavilion available with shade and seating. Restrooms closed during winter."
,Patrick Henry Elementary,,2,2 ,2 ,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,1,,,,2,1,1,,,,,,,,,,,,,-77.08882425200,38.86578636900,,,701 S Highland Street,22204,3,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,,,,
,Penrose Park,,2,2 ,2 ,3,,2,3,3,,,,3,1,1,,,,,,,,,,,,,-77.0826948706309,38.8686066848361,,,2200 6th St S,22204,3,3,2,1,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,,,,Park is hidden in a residential area. Nice gazebo with picnic tables and a wooded picnic area with grills. On-street parking.
,Powhatan Springs Skate Park,,1,1,2,3,,3,,,,,,,3,2,,,,,,,,,,,,,,,,,6020 Wilson Boulevard,22205,,,,,,,,2,,,,,,,,,,,,,,,,,,,,Open sunrise to 9 pm Sunday through Thursday; sunrise to 10 pm Friday and Saturday.
,Quincy park,,1,2 ,1,3,,3,3,3,,,,2,3,2,,,,,,,,,,,,,-77.107628477109,38.8845327623199,,,1021 N Quincy St,22201,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,3,,,,"Grills and picnic tables, volleyball court, baseball field, tennis courts. Surface parking lot shared with (adjacent) Central Library."
,Randolph Elementary,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.09806483070,38.85656421210,,,1306 S Quincy Street,22204,3,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,,,,
,Rocky Run Park,,2,2 ,2,3,,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.0880302585752,38.8865398785791,,,1109 N Barton St,22201,3,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,,,,"Renovated in 2014, Rocky Run offers fun features for children of all ages. Large and small web climbing features. Within walking distance of the Courthouse Metro Station, and several bus lines run along N. Barton Street. Street parking available."
,Rosslyn Highlands Park,,2,2 ,2,3,,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.0769057563775,38.8952806629817,,,1529 Wilson Blvd,22201,2,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,,,,
,Slater Park,,2,2 ,2,3,,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.1237417779246,38.893290970711,,,1837 N Culpeper St,22207,2,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,3,,,,Large wooded area with picnic tables.
,Taylor Elementary School,,1,2,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",2,3,2,,,,2,1,1,,,,,,,,,,,,,-77.11364964190,38.90678546890,,,2600 N Stuart Street,22207,3,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,2,1,,,,"There are three separate playground areas including one behind the school, which is not visible from the street. "
,Thomas Jefferson Community Center Playground,,1,2 ,2 ,3,,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.0961199533198,38.8696383278844,,,3501 S 2nd St,22204,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,,,,"Some of the playground surface is wheelchair accessible, but most is mulched. Tennis courts, soccer fields, adult fitness equipment also at park. Restrooms in the community center. "
,Towers Park,,2,2 ,2 ,3,,3,3,3,,,,3,1,2,,,,,,,,,,,,,-77.0774074379436,38.8668102999796,,,801 S Scott St,22204,3,2,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,1,1,3,,,,"Tennis court, volleyball court, gated dog park. Capital Bike Share stand close to park."
,Troy Park,,2,2 ,2 ,3,,3,3,3,,,,3,1,1,,,,,,,,,,,,,-77.0723257358776,38.8460191023571,,,2629 S Troy St,22206,2,3,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,3,,,,"Water table toy for toddlers. Stream adjacent to park, but fenced off. Pleasant natural setting. Two basketball hoops, but not a full basketball court. Bus stops within walking distance, on bike route and bike share nearby."
,Tuckahoe Park,,1,2 ,2 ,3,,3,3,3,,,,3,1,2,,,,,,,,,,,,,-77.1569560524116,38.8913128075635,,,2400 N Sycamore St,22213,3,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,1,3,,,,"Recently renovated park; great space for kids to run and play and interesting new equipment, including a climbing web. Located next to Tuckahoe School. Fields used for soccer and baseball games. Close to East Falls Church Metro station and various bus lines."
,TuckahoeElementary School,,1,1,2 ,3,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,2,,,,1,1,1,,,,,,,,,,,,,-77.1569560524116,38.8913128075635,,,6550 26th St N,22213,3,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,3,,,,Playground is very close to the Tuckahoe Park; some of the features listed there are shared. Near the East Falls Church Metro station and buses.
,Tyrol Hill Park,,1,2 ,2,3,,3,3,1,,,,3,1,2,,,,,,,,,,,,,-77.1177272332977,38.8598923688139,,,5101 7th Rd S,22204,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,3,Sandbox looks questionable- I took a picture.  Basketball Court  Volleyball Court,,,Limited street parking; can be difficult to find a space.
,Upton Hills Park,,1,2 ,2 ,3,,,,2,,,,,,,,,,,,,,,,,,,-77.14378490910,38.87163187570,,,6060 Wilson Boulevard,22205,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
,Virginia Highlands Park,,2,2 ,2 ,3,,3,3,2,,,,3,3,2,,,,,,,,,,,,,-77.0598723758129,38.8584014999892,,,1600 S Hayes St,22202,2,2,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,2,1,1,1,,,,"Large park with a fenced playground. Spray ground is open every day, Memorial Day through Labor Day, but is not fenced. Nice restrooms. The fields and ball court surrounding the park were under construction at the time of survey. Close to Pentagon City Metro, plenty of parking (except for during construction right now)"
,Vornado Crystal City,,2,2 ,1,2,,1,3,3,,,,3,1,1,,,,,,,,,,,,,-77.04913313140,38.85208769870,,,2451 Crystal Drive,22202,3,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,,,,Open after 6 pm and on weekends.
,Walter Reed Playground,,1,2 ,1,3,,3,3,1,,,,3,3,2,,,,,,,,,,,,,-77.0862320095304,38.8579347453384,,,2909 16th Street S,22204,3,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,,,,"Very small playground, without the traditional slide or swings. Geared toward kids who like to climb and balance. The sandbox is quite nice, with a turtle sculpture in the center. Adjacent to community center, off Walter Reed Drive. Ample parking in a lot. Restrooms in the community center. "
,Westover Park,,2,2 ,2 ,3,,3,3,2,,,,3,3,2,,,,,,,,,,,,,-77.1357041675539,38.8801941375192,,,1001 N Kennebec St,22205,3,3,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,3,,,,"Pleasant and welcoming facility. Baseball field, volleyball court, basketball court, soccer field, bike trail, and one swing for children with disabilities. Small parking lot."
,Woodlawn Park,,1,2 ,2,3,,2,3,3,,,,3,1,2,,,,,,,,,,,,,-77.1207220816469,38.8868860543669,,,1325 N Buchanan St,22207,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,1,3,,,,Not immediately visible from the street; walk down a short path between two houses to get there.
,Woodmont Park,,1,2 ,2 ,3,,2,3,1,,,,2,1,1,,,,,,,,,,,,,-77.0977397112732,38.9023452007902,,,2422 N Fillmore St,22207,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,3,,,,Paths are wheelchair accessible but no specific features for children with physical disabilities. No fence separating playground from parking lot. Easily accessible by car.
